Title,Description,Department,Program,Contact Email,Homepage URL,Temporal Coverage,Spatial/Geographic Coverage,Geographic Granularity,Language,Frequency,De-Identification Method,Source Link,Data Collection Tool,License,Limitations,Additional Limitations,Additional Information,Related Resources,Secondary Sources,Citation,Created,Last Updated,Topic,Tags,Dataset URL,Dataset ID
"Vocational Rehabilitation Consumers Served by Disability and County, SFY 2016","This dataset represents the statewide count of Department of Rehabilitation’s total number of consumers served in State Fiscal Years 2014 through 2016 by disability type, and county.",Department of Rehabilitation,"Budgets, Fiscal Forecasting and Research",opendata@dor.ca.gov,https://www.dor.ca.gov,2016,,other,English (EN),other,,,,Terms of Use,Limitations,,,,,,,,Demographics,"county,department of rehabilitation,disability,disability type,dor",https://data.chhs.ca.gov/dataset/vocational-rehabilitation-consumers-served-by-disability-type-and-county-sfy-2016,vocational-rehabilitation-consumers-served-by-disability-type-and-county-sfy-2016
"Vocational Rehabilitation Consumers Served by Sex and County, SFY 2017","This dataset represents the statewide count of Department of Rehabilitation's total number of vocational rehabilitation consumers served by the reported state fiscal years 2014 through 2017, county, and sex.",Department of Rehabilitation,"Budgets, Fiscal Forecasting and Research",opendata@dor.ca.gov,https://www.dor.ca.gov,2017,,other,English (EN),other,,,,Terms of Use,Limitations,,,,,,,,Demographics,"consumers,county,department of rehabilitation,disability,dor,rehabilitation,sex,vocational",https://data.chhs.ca.gov/dataset/vocational-rehabilitation-consumers-served-by-sex-and-county-sfy-2017,vocational-rehabilitation-consumers-served-by-sex-and-county-sfy-2017
"Vocational Rehabilitation Successful Closures Average Hours Worked By County, SFY 2017",This dataset represents the statewide average hours worked per week of Department of Rehabilitation’s total successful closures in State Fiscal Years 2014 through 2017 by county.,Department of Rehabilitation,"Budgets, Fiscal Forecasting and Research",opendata@dor.ca.gov,https://www.dor.ca.gov,2017,,other,English (EN),other,,,,Terms of Use,Limitations,,,,,,,,Demographics,"average,county,department of rehabilitation,disability,dor,hours worked,occupation,successful closures",https://data.chhs.ca.gov/dataset/vocational-rehabilitation-successful-closures-average-hours-worked-by-county-sfy-2017,vocational-rehabilitation-successful-closures-average-hours-worked-by-county-sfy-2017
"Vocational Rehabilitation Consumers Served by Disability and County, SFY 2017","This dataset represents the statewide count of Department of Rehabilitation’s total number of consumers served in State Fiscal Years 2014 through 2017 by disability type, and county.",Department of Rehabilitation,"Budgets, Fiscal Forecasting and Research",opendata@dor.ca.gov,https://www.dor.ca.gov,2017,,other,English (EN),other,,,,Terms of Use,Limitations,,,,,,,,Demographics,"county,department of rehabilitation,disability,disability type,dor",https://data.chhs.ca.gov/dataset/vocational-rehabilitation-consumers-served-by-disability-type-and-county-sfy-2017,vocational-rehabilitation-consumers-served-by-disability-type-and-county-sfy-2017
"Vocational Rehabilitation Successful Closures by Disability and County, SFY 2017",This dataset represents the statewide count of Department of Rehabilitation’s total successful closures in State Fiscal Years 2014 through 2017 by disability type and county.,Department of Rehabilitation,"Budgets, Fiscal Forecasting and Research",opendata@dor.ca.gov,https://www.dor.ca.gov,2017,,other,English (EN),other,,,,Terms of Use,Limitations,,,,,,,,Demographics,"department of rehabilitation,disability,disability type,dor,successful closures",https://data.chhs.ca.gov/dataset/vocational-rehabilitation-successful-closures-by-disability-type-and-county-sfy-2017,vocational-rehabilitation-successful-closures-by-disability-type-and-county-sfy-2017
"Vocational Rehabilitation Successful Closures by Race/Ethnicity and County, SFY 2017",This dataset represents the statewide count of Department of Rehabilitation’s total successful closures in State Fiscal Years 2014 through 2017 by race/ethnicity and county.,Department of Rehabilitation,"Budgets, Fiscal Forecasting and Research",opendata@dor.ca.gov, www.dor.ca.gov,State Fiscal Year (July 1 – June 30),California,county,English (EN),annually,DHCS Data De-Identification Guidelines v 2.0 is followed to suppress small cells with a Publication Score of <12.  An annotation field (1) in each data table corresponds to records that have suppressed cells.,,VIS (Tableau),Terms of Use,Limitations,,,,,,,,Demographics,"department of rehabilitation,disability,dor,ethnicity,race,successful closures",https://data.chhs.ca.gov/dataset/vocational-rehabilitation-successful-closures-by-race-ethnicity-and-county-sfy-2017,vocational-rehabilitation-successful-closures-by-race-ethnicity-and-county-sfy-2017
"Vocational Rehabilitation Consumers Served by Age Group and County, SFY 2017","This dataset represents the statewide count of Department of Rehabilitation’s total number of consumers served by State Fiscal Years 2014 through 2017, age group, and county.",Department of Rehabilitation,"Budgets, Fiscal Forecasting and Research",opendata@dor.ca.gov,www.dor.ca.gov,State Fiscal Year (July 1 – June 30),California ,county,English (EN),annually,DHCS Data De-Identification Guidelines v 2.0 is followed to suppress small cells with a Publication Score of <12.  An annotation field (1) in each data table corresponds to records that have suppressed cells.,,VIS (Tableau),Terms of Use,Limitations,,,,,,,,Demographics,"age,county,department of rehabilitation,disability,dor",https://data.chhs.ca.gov/dataset/vocational-rehabilitation-consumers-served-by-age-group-and-county-sfy-2017,vocational-rehabilitation-consumers-served-by-age-group-and-county-sfy-2017
"Vocational Rehabilitation Successful Closures by Sex and County, SFY 2017",This dataset represents the statewide count of Department of Rehabilitation’s total number of successful closures in State Fiscal Years 2014 through 2017 by sex and county.,Department of Rehabilitation,"Budgets, Fiscal Forecasting and Research",opendata@dor.ca.gov,www.dor.ca.gov ,State Fiscal Year (July 1 – June 30),California,county,English (EN),annually,DHCS Data De-Identification Guidelines v 2.0 is followed to suppress small cells with a Publication Score of <12.  An annotation field (1) in each data table corresponds to records that have suppressed cells.,,VIS (Tableau),Terms of Use,Limitations,,,,,,,,Demographics,"department of rehabilitation,disability,dor,sex,successful closures",https://data.chhs.ca.gov/dataset/vocational-rehabilitation-successful-closures-by-sex-and-county-sfy-2017,vocational-rehabilitation-successful-closures-by-sex-and-county-sfy-2017
"Vocational Rehabilitation Successful Closures by Occupation and County, SFY 2017",This dataset represents the statewide count of Department of Rehabilitation’s total successful closures in State Fiscal Years 2014 through 2017 by occupation by county.,Department of Rehabilitation,"Budgets, Fiscal Forecasting and Research",opendata@dor.ca.gov,www.dor.ca.gov,State Fiscal Year (July 1 – June 30),California ,county,English (EN),annually,DHCS Data De-Identification Guidelines v 2.0 is followed to suppress small cells with a Publication Score of <12.  An annotation field (1) in each data table corresponds to records that have suppressed cells.,,VIS (Tableau),Terms of Use,Limitations,,,,,,,,Demographics,"department of rehabilitation,disability,dor,occupation,successful closures",https://data.chhs.ca.gov/dataset/vocational-rehabilitation-successful-closures-by-occupation-and-county-sfy-2017,vocational-rehabilitation-successful-closures-by-occupation-and-county-sfy-2017
"Vocational Rehabilitation Successful Closures by Age Group and County, SFY 2017",This dataset represents the statewide count of Department of Rehabilitation’s successful closures in State Fiscal Years 2014 through 2017 by age group and county.,Department of Rehabilitation,"Budgets, Fiscal Forecasting and Research",opendata@dor.ca.gov,www.dor.ca.gov ,State Fiscal Year (July 1 – June 30),,county,English,annually,DHCS Data De-Identification Guidelines v 2.0 is followed to suppress small cells with a Publication Score of <12.  An annotation field (1) in each data table corresponds to records that have suppressed cells.,,VIS (Tableau),Terms of Use,Limitations,,,,,,,,Demographics,"DOR,Department of rehabilitation,age,consumers,county,disability,successful closures,vocational rehabilitation,vr",https://data.chhs.ca.gov/dataset/vocational-rehabilitation-successful-closures-by-age-group-and-county-sfy-2017,vocational-rehabilitation-successful-closures-by-age-group-and-county-sfy-2017
"Vocational Rehabilitation Successful Closures Average Hourly Wage By County, SFY 2017",This dataset represents the statewide average hourly wage of Department of Rehabilitation’s total successful closures in State Fiscal Years 2014 through 2017 by county.,Department of Rehabilitation,"Budgets, Fiscal Forecasting and Research",opendata@dor.ca.gov,www.dor.ca.gov,State Fiscal Year (July 1 – June 30),California ,county,English (EN),annually,DHCS Data De-Identification Guidelines v 2.0 is followed.,,VIS (Tableau),Terms of Use,Limitations,,,,,,,,Demographics,"average,county,department of rehabilitation,disability,dor,hourly wage,occupation,successful closures",https://data.chhs.ca.gov/dataset/vocational-rehabilitation-successful-closures-average-hourly-wage-by-county-sfy-2017,vocational-rehabilitation-successful-closures-average-hourly-wage-by-county-sfy-2017
"Vocational Rehabilitation Consumers Served by Race/Ethnicity and County, SFY 2017","This dataset represents the statewide count of Department of Rehabilitation’s total number of consumers served by State Fiscal Years 2014 through 2016, race/ethnicity, and county.",Department of Rehabilitation,"Budgets, Fiscal Forecasting and Research",opendata@dor.ca.gov,www.dor.ca.gov ,State Fiscal Year (July 1 – June 30),California,county,English (EN),annually,DHCS Data De-Identification Guidelines v 2.0 is followed to suppress small cells with a Publication Score of <12.  An annotation field (1) in each data table corresponds to records that have suppressed cells.,,VIS (Tableau),Terms of Use,Limitations,,,,,,,,Demographics,"county,department of rehabilitation,disability,dor,ethnicity,race",https://data.chhs.ca.gov/dataset/vocational-rehabilitation-consumers-served-by-race-ethnicity-and-county-sfy-2017,vocational-rehabilitation-consumers-served-by-race-ethnicity-and-county-sfy-2017
Dental Utilization By Provider - CY 2018,"This dataset provides beneficiary and service counts for annual dental visits, dental preventive services, dental treatment, and dental exams by rendering providers (by NPI) for calendar year (CY) 2018.  It includes fee-for-service (FFS), Geographic Managed Care, and Pre-Paid Health Plans delivery systems. Rendering providers are categorized as either rendering or rendering at a safety net clinic.  Beneficiaries are grouped by Age 0-20 and Age 21+.",Department of Health Care Services,Medi-Cal Dental Services Division,opendata@dhcs.ca.gov,https://www.denti-cal.ca.gov/,Calendar Year 2018,In State,statewide,English,annually,http://www.dhcs.ca.gov/dataandstats/Pages/PublicReportingGuidelines.aspx,,,Terms of Use,Limitations,,"(a) Preventative Dental Services ICD 10: K023 K0251 K0261 K036 K0500 K0501 K051 K0510 K0511 Z012 Z0120 Z0121 Z293 Z299 Z98810 
(b) Dental Treatment ICD 10: K0262 K029 K0252 K0532 K0263 K0530 Z463 K047 K040 K0253 K0381 Z98811 K041 K056 K0531 K027 K083 K045 K08531 K0850 K0520 K044 K0521 K0490 K046 Z4802 K099 K0851 K05322 K05329 K08530 K0522 K05321 Z48814 K055 K054 Z464 R52 K08539 Z972 K042 Z515 K0859 K0401 K05323 Z449 K05311 K05312 K05313 K05211 M2759 K0852 M2751 K05319 Z4889 G8918 K0856 K05212 K05213 K05221 K048 G8911 K05219 M2753 K05222 K05229 G8928 K05223 E11630 Z481 E10630 K025 K052 
(c) Dental Exams ICD 10: A690 B002 B370 B379 C009 C029 C050 C058 C059 C060 C061 C069 C07 C080 C099 C12 C148 C300 C310 D040 D100 D101 D102 D1030 D1039 D110 D164 D165 D230 D2330 D3709 F458 G4763 G500 G501 G508 G509 G510 G519 G8921 G8929 J0100 J320 K000 K001 K002 K003 K004 K005 K006 K007 K008 K009 K010 K011 K033 K034 K035 K037 K0389 K039 K043 K0499 K060 K061 K062 K063 K068 K069 K080 K081 K08101 K08102 K08103 K08104 K08109 K08111 K08112 K08113 K08114 K08119 K08121 K08122 K08123 K08124 K08129 K08131 K08132 K08133 K08134 K08139 K08191 K08192 K08193 K08194 K08199 K0820 K0821 K0822 K0823 K0824 K0825 K0826 K08401 K08402 K08403 K08404 K08409 K08411 K08412 K08413 K08414 K08419 K08421 K08422 K08423 K08424 K08429 K0843 K08431 K08432 K08433 K08434 K08439 K08491 K08492 K08493 K08494 K08499 K085 K0853 K0855 K088 K0881 K0882 K0889 K090 K091 K098 K111 K1120 K113 K115 K116 K117 K118 K120 K121 K122 K1230 K1232 K1239 K130 K131 K1321 K1329 K134 K135 K136 K1370 K1379 K140 K141 K143 K145 K146 K148 K149 L0291 L03211 L0390 M2602 M2603 M2607 M2609 M2610 M2612 M2619 M26219 M26220 M26221 M2624 M2629 M2630 M2631 M2633 M2635 M2636 M2637 M2639 M2650 M2651 M2652 M2653 M2655 M2657 M2659 M26601 M26602 M26603 M26609 M2661 M26621 M26623 M2670 M2671 M2672 M2674 M2679 M2682 M2689 M269 M270 M272 M273 M2740 M2749 M2752 M2761 M2762 M2763 M2769 M278 M279 M792 M87180 M879 Q351 Q359 Q360 Q369 Q371 Q374 Q375 Q379 Q380 Q381 Q385 Q386 R196 R682 S00511A S00512A S00531A S01501A S01502A S01502D S01511A S01512A S020XXA S02113D S022XXA S02401A S02401D S02402A S02402D S02411A S02411D S02412D S0242XA S0242XD S025XXA S025XXB S025XXD S025XXG S025XXK S025XXS S02600A S02600B S02600D S02609A S02609B S02609D S02609G S02609K S02609S S0261XA S0261XD S0262XA S0264XD S02650A S0265XA S0265XD S0265XG S0265XS S0266XA S0266XD S0266XS S0267XA S0267XD S0269XA S0269XB S0269XD S028XXD S0292XA S0292XD S030XXA S030XXD S032XXA S032XXD S032XXS S098XXA S0990XA S0993XA S0993XD S0993XS T180XXA T8584XA V689 Z0000 Z00121 Z00129 Z008 Z012 Z0120 Z0121 Z0130 Z0131 Z01818 Z0189 Z0289 Z029 Z043 Z049 Z08 Z1281 Z1832 Z392 Z965",,,,2019-11-12T23:15:55.344262,2020-06-01T19:01:04.071367,Healthcare,,https://data.chhs.ca.gov/dataset/dental-utilization-per-provider,dental-utilization-per-provider
Vancomycin-Resistant Enterococci (VRE) Bloodstream Infections in California Hospitals,"California Health and Safety Code section 1288.55(a)(1) requires general acute care hospitals to report all cases of vancomycin-resistant enterococci (VRE) bloodstream infections (BSI) to the California Department of Public Health (CDPH). Hospitals report VRE data to CDPH via the Centers for Disease Control and Prevention (CDC) National Healthcare Safety Network (NHSN) following NHSN protocols and definitions.
 
CDPH downloads California hospital VRE BSI data from NHSN and analyzes the data to describe prevention progress in an annual public report of healthcare-associated infections. CDPH publishes annual VRE BSI data in datasets that include the number of VRE BSI reported by each California hospital in the specified reporting year and the hospital-onset VRE BSI rate. The VRE BSI rate is calculated by dividing the number of cases by the total number of patient days; the rate is then reported per 10,000 patient days. VRE BSI rates are not risk adjusted because there are no such methods available at this time. Aggregate mean rates used for comparisons are stratified by hospital type (and for community hospitals, by bed size). The unadjusted VRE BSI rates herein are affected by the clinical services provided, infection control practices, and surveillance methods.
 
Detailed information about the variables included in each dataset are described in the accompanying data dictionaries for the year of interest.

For general information about NHSN, surveillance definitions, and reporting requirements for VRE, please visit: https://www.cdc.gov/nhsn/index.html
 
To link the CDPH facility IDs with those from other Departments, including OSHPD, please reference the ""Licensed Facility Cross-Walk"" Open Data table at: https://data.chhs.ca.gov/dataset/licensed-facility-crosswalk

For information about healthcare-associated infection prevention progress in California hospitals and statewide prevention goals, please visit: https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/AnnualHAIReports.aspx",California Department of Public Health,Center for Health Care Quality/Healthcare-Associated Infections Program/Epidemiology Unit,opendata@cdph.ca.gov,https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/HAIProgramHome.aspx,2013-present,California,county,English (EN),annually,See Healthcare-Associated Infections Report at https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/AnnualHAIReports.aspx,https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/AnnualHAIReports.aspx,National Healthcare Safety Network (NHSN): http://www.cdc.gov/nhsn/ ,Terms of Use,Limitations,,,"To link the CDPH facility IDs with those from other Departments, like OSHPD, please reference the ""Licensed Facility Cross-Walk"" Open Data table at https://data.chhs.ca.gov/dataset/licensed-facility-crosswalk. ",,"Division of Healthcare Quality Promotion, National Center for Emerging and Zoonotic Infectious Diseases, Centers for Disease Control and Prevention [Distributor: Healthcare-Associated Infections Program, California Department of Public Health]. ",2017-07-07T19:48:58.502718,2020-05-07T00:27:24.075968,"Diseases and Conditions,Facilities and Services,Healthcare",,https://data.chhs.ca.gov/dataset/vancomycin-resistant-enterococci-vre-bloodstream-infections-in-california-hospitals,vancomycin-resistant-enterococci-vre-bloodstream-infections-in-california-hospitals
Surgical Site Infections (SSIs) for Operative Procedures in California Hospitals,"These datasets show surgical site infections (SSIs) reported by California hospitals to the California Department of Public Health (CDPH), Healthcare-Associated Infections (HAI) Program, via the Centers for Disease Control and Prevention National Healthcare Safety Network (NHSN), in accordance with Health and Safety Code (HSC) section 1288.55. 

California hospitals track and report deep incisional and organ/space SSIs for adults and pediatric patients for 28 types of operative procedures: 
abdominal aortic aneurysm repair; abdominal hysterectomy; appendix surgery; bile duct, liver or pancreatic surgery, cardiac surgery; Cesarean section; colon surgery; coronary artery bypass graft with both chest and donor site incisions; coronary artery bypass graft with chest incision only*; exploratory abdominal surgery (laparotomy); gallbladder surgery; gastric surgery; heart transplant; hip prosthesis; kidney surgery; kidney transplant; knee prosthesis; laminectomy; liver transplant; open reduction of fracture; ovarian surgery; pacemaker surgery; rectal surgery; small bowel surgery; spinal fusion; spleen surgery; thoracic surgery; vaginal hysterectomy.
 
The SSI data tables include information on the statewide and hospital-specific SSI incidence by operative procedure types, displaying procedure counts, number of infections observed (reported) and predicted, the standardized infection ratio (SIR) and associated 95% confidence intervals, as well as statistical interpretation to show whether SSI incidence was the same (no different), better (lower), or worse (higher) than the national baseline. Another performance measure in this dataset allows for tracking hospital progress in meeting established HAI reduction goals. Hospitals must have an SIR at or below incremental targets each year to be considered on track. California hospitals should achieve 30% reductions in SSI incidence from 2015 to 2020.

NHSN calculates procedure-specific risk adjustment logistic regression models based on 2015 national baseline data and that accounts for particular patient-level factors and hospital characteristics found to be significant predictors of SSI incidence. The number of predicted infections generated from these models is used to calculate the SIR, a measure of HAI incidence, by dividing the number of actual observed infections by the number of predicted infections.

Detailed information about the variables included in each dataset are described in the accompanying data dictionaries for the year of interest. 
For more information about the SIR and NHSN’s statistical models, please review the “NHSN Guide to the SIR” at https://www.cdc.gov/nhsn/ps-analysis-resources/index.html

To link the CDPH facility IDs with those from other Departments, like OSHPD, please refer to the ""Licensed Facility Cross-Walk"" Open Data table at https://data.chhs.ca.gov/dataset/licensed-facility-crosswalk

For more information about HAIs in California hospitals, please visit: https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/AnnualHAIReports.aspx",California Department of Public Health,Center for Health Care Quality/Healthcare-Associated Infections Program/Epidemiology Unit,opendata@cdph.ca.gov ,https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/HAIProgramHome.aspx,2013-present,California,county,English (EN),annually,See Healthcare-Associated Infections Report at https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/AnnualHAIReports.aspx,https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/AnnualHAIReports.aspx,National Healthcare Safety Network (NHSN): http://www.cdc.gov/nhsn/ ,Terms of Use,Limitations,,,"To link the CDPH facility IDs with those from other Departments, like OSHPD, please reference the ""Licensed Facility Cross-Walk"" Open Data table at https://data.chhs.ca.gov/dataset/licensed-facility-crosswalk. ",," Division of Healthcare Quality Promotion, National Center for Emerging and Zoonotic Infectious Diseases, Centers for Disease Control and Prevention [Distributor: Healthcare-Associated Infections Program, California Department of Public Health] ",2017-07-07T21:29:50.663437,2020-05-18T18:08:51.226660,"Diseases and Conditions,Facilities and Services,Healthcare","HAI,abdominal,aortic aneurysm,appendicitis,arthroplasty,artificial,bile ducts and extrahepatic,bone,cardiac surgery,cesarean,cholecystectomy,colectomy,colorectal surgery,community hospitals,coronary artery bypass,coronary bypass graft,digestive system surgical procedures,fractures,gallbladder,gastrectomy,healthcare,heart transplant,hip prothesis,hip replacement,hospitals,hysterectomy,hysterectomy abdominal,hysterectomy vaginal,hysteroscopy,internal mammary-coronary artery anastomosis,kidney,kidney transplantation,knee prothesis,laminectomy,laparotomy,liver transplantation,nosocomial infections,open reduction of fracture,operative procedures,ovarian,ovarian surgery,ovary,pacemaker,pancreatic,rectal neoplasms,rectal surgery,small bowel surgery,spinal fusion,spine,splenectomy,ssi,surgical,surgical procedure,surgical site infections,surveillance,thoracic surgery",https://data.chhs.ca.gov/dataset/surgical-site-infections-ssis-for-5-operative-procedures-in-california-hospitals,surgical-site-infections-ssis-for-5-operative-procedures-in-california-hospitals
Central Line-Associated Bloodstream infections (CLABSI) in California Hospitals,"This dataset includes central line-associated bloodstream infection (CLABSI) data reported by California hospitals to the California Department of Public Health, Healthcare-Associated Infections (HAI) Program, via the Centers for Disease Control and Prevention (CDC) National Healthcare Safety Network (NHSN). Hospital types include acute care, critical access, long-term acute care, free-standing rehabilitation hospitals, as well as acute rehabilitation units that report data separately.

CLABSI data for each hospital include the number of infections observed (reported) and predicted (based on national baseline data), the number of central line-days, the Standardized Infection Ratio (SIR) and associated 95% confidence intervals, and statistical interpretation to show whether CLABSI incidence was the same (no different), better (lower), or worse (higher) than the national baseline. Another performance measure in this dataset allows for tracking hospital progress in meeting national HAI reduction goals. Hospitals must have an SIR at or below incremental targets each year to be considered on track. California hospitals should achieve 50% reductions in CLABSI from 2015 to 2020. Central line insertion practices (CLIP) adherence percent for each hospital is calculated from data reported by all critical care locations (i.e., critical care areas, neonatal critical care, and one special care area, ""Oncology - Medical/Surgical Critical Care"").

CLABSI SIRs are influenced by clinical and infection control practices related to central line insertion and infection control maintenance practices, patient-based risk factors, and surveillance and reporting methods. Health and Safety Code section 1288.55(a)(2) requires general acute care hospitals to report to the California Department of Public Health (CDPH) all cases of CLABSI identified in their facilities. 

For general information about NHSN, surveillance definitions, and reporting requirements for CLABSI, please visit: https://www.cdc.gov/nhsn/index.html 

To link the CDPH facility IDs with those from other Departments, including OSHPD, please reference the ""Licensed Facility Cross-Walk"" Open Data table at: https://data.chhs.ca.gov/dataset/licensed-facility-crosswalk

For information about healthcare-associated infection prevention progress in California hospitals and statewide prevention goals, please visit: https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/AnnualHAIReports.aspx",California Department of Public Health,"California Dept of Public Health, Center for Health Care Quality/Healthcare-Associated Infections Program/Epidemiology Unit",opendata@cdph.ca.gov,https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/HAIProgramHome.aspx,2013-present,California,county,English,annually,See Healthcare-Associated Infections Report at https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/AnnualHAIReports.aspx,https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/HAIProgramHome.aspx,National Healthcare Safety Network (NHSN): http://www.cdc.gov/nhsn/,Terms of Use,Limitations,,"Health and Safety Code section 1288.55(a)(1) requires general acute care hospitals to report to the California Department of Public Health (CDPH) all cases of CLABSI identified in their facilities.  The California Health and Safety Code section 1288.8(b) requires CLIP hospital data from all critical care locations to be reported to CDPH.  The data are submitted by California hospitals to the Centers for Disease Control and Prevention (CDC) National Healthcare Safety Network (NHSN). For more information on data collection processes and methods, please see the ""Technical Notes"" of the healthcare-associated infections (HAI) report at: https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/AnnualHAIReports.aspx",,,,2017-06-26T20:48:05.948785,2020-04-21T20:01:42.764078,"Diseases and Conditions,Facilities and Services,Healthcare",,https://data.chhs.ca.gov/dataset/test-cdph-central-line-associated-bloodstream-infections-clabsi-in-california-hospitals,test-cdph-central-line-associated-bloodstream-infections-clabsi-in-california-hospitals
Clostridioides difficile infections (CDI) in California Hospitals,"California Health and Safety Code section 1288.55(a)(1) requires general acute care hospitals to report all cases of Clostridioides difficile infections (CDI) identified in their facilities to the California Department of Public Health (CDPH). CDI data are submitted by hospitals to the Centers for Disease Control and Prevention (CDC) National Healthcare Safety Network (NHSN). 

CDPH downloads California hospital CDI data from NHSN and analyzes the data to describe prevention progress in an annual public report of healthcare-associated infections CDPH publishes annual CDI data reported by each California hospital in the datasets below. 

The following datasets include the number of CDI reported by each California hospital in the specified reporting year. Beginning in 2016 for each California hospital, the annual CDI dataset includes the number of CDI that were predicted to occur in each hospital based on its specific facility-level characteristics. The observed (reported) number of CDI are then compared to the predicted number of CDI in a ratio called the Standardized Infection Ratio or SIR. The SIR is a metric that summarizes an individual hospital’s CDI prevention progress compared with the national baseline and California state-specific prevention goals. 

Detailed information about the variables included in each dataset are described in the accompanying data dictionaries for the year of interest.

For more information about the SIR and NHSN’s statistical models that are used to calculate the predicted number of CDI for each hospital, please review “NHSN’s Guide to the SIR”: https://www.cdc.gov/nhsn/ps-analysis-resources/index.html 

For general information about NHSN, surveillance definitions, and reporting requirements for CDI, please visit: https://www.cdc.gov/nhsn/index.html 

To link the CDPH facility IDs with those from other Departments, including OSHPD, please reference the ""Licensed Facility Cross-Walk"" Open Data table at: https://data.chhs.ca.gov/dataset/licensed-facility-crosswalk.

For information about healthcare-associated infection prevention progress in California hospitals and statewide prevention goals, please visit: https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/AnnualHAIReports.aspx",California Department of Public Health,Center for Health Care Quality/Healthcare-Associated Infections Program/Epidemiology Unit ,opendata@cdph.ca.gov,https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/HAIProgramHome.aspx,2013-present,California,county,English (EN),annually,See Healthcare-Associated Infections Report at https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/HAIProgramHome.aspx ,, National Healthcare Safety Network (NHSN): http://www.cdc.gov/nhsn/  ,Terms of Use,Limitations,,,,,"Division of Healthcare Quality Promotion, National Center for Emerging and Zoonotic Infectious Diseases, Centers for Disease Control and Prevention [Distributor: Healthcare-Associated Infections Program, California Department of Public Health].",2017-07-10T18:47:41.122969,2020-04-23T09:44:10.051883,"Diseases and Conditions,Facilities and Services,Healthcare",,https://data.chhs.ca.gov/dataset/clostridioides-difficile-infections-cdi-in-california-hospitals,clostridioides-difficile-infections-cdi-in-california-hospitals
